"","id","sex","edad","origen","timerun","categoria","nacionalidad"
"1",1,"Hombre",22,"SEVILLA",1988,"2. Abierta","COL"
"2",2,"Hombre",31,"SEVILLA",2041,"2. Abierta","COL"
"3",3,"Hombre",31,"YUMBO",2083,"2. Abierta","COL"
"4",4,"Hombre",36,"CALI",2112,"2. Abierta","COL"
"5",5,"Hombre",32,"CALI",2213,"2. Abierta","COL"
"6",6,"Hombre",48,"PALMIRA",2238,"3. Veteranos A","COL"
"7",7,"Hombre",31,"CALI",2244,"2. Abierta","COL"
"8",8,"Hombre",19,"YUMBO",2247,"2. Abierta","COL"
"9",9,"Hombre",51,"CALI",2266,"4. Veteranos B","COL"
"10",10,"Hombre",24,"CALI",2302,"2. Abierta","COL"
"11",11,"Hombre",23,"CALI",2346,"2. Abierta","COL"
"12",12,"Mujer",25,"SEVILLA",2355,"2. Abierta","COL"
"13",13,"Hombre",46,"CALI",2358,"3. Veteranos A","COL"
"14",14,"Hombre",25,"CALI",2358,"2. Abierta","COL"
"15",15,"Hombre",46,"CALI",2358,"3. Veteranos A","COL"
"16",16,"Hombre",42,"CALI",2363,"3. Veteranos A","COL"
"17",17,"Mujer",23,"POPAYAN",2374,"2. Abierta","COL"
"18",18,"Hombre",36,"CALI",2379,"2. Abierta","COL"
"19",19,"Hombre",36,"CALI",2386,"2. Abierta","COL"
"20",20,"Hombre",43,"CALI",2402,"3. Veteranos A","COL"
"21",21,"Hombre",30,"CALI",2406,"2. Abierta","COL"
"22",22,"Hombre",44,"CALI",2424,"3. Veteranos A","COL"
"23",23,"Hombre",38,"CALI",2460,"2. Abierta","COL"
"24",24,"Hombre",25,"CALI",2469,"2. Abierta","COL"
"25",25,"Hombre",30,"CALI",2473,"2. Abierta","COL"
"26",26,"Hombre",39,"CALI",2484,"2. Abierta","COL"
"27",27,"Hombre",17,"CALI",2500,"1. Juvenil","COL"
"28",28,"Hombre",44,"CALI",2505,"3. Veteranos A","COL"
"29",29,"Hombre",19,"CALI",2512,"2. Abierta","COL"
"30",30,"Mujer",19,"SEVILLA",2525,"2. Abierta","COL"
"31",31,"Hombre",52,"CALI",2530,"4. Veteranos B","COL"
"32",32,"Hombre",41,"CALI",2530,"3. Veteranos A","COL"
"33",33,"Hombre",16,"CALI",2534,"1. Juvenil","COL"
"34",34,"Hombre",53,"CALI",2537,"4. Veteranos B","COL"
"35",35,"Hombre",50,"CALI",2539,"4. Veteranos B","COL"
"36",36,"Hombre",36,"CALI",2540,"2. Abierta","COL"
"37",37,"Hombre",36,"CALI",2552,"2. Abierta","COL"
"38",38,"Hombre",33,"CALI",2566,"2. Abierta","COL"
"39",39,"Hombre",24,"PRADERA",2568,"2. Abierta","COL"
"40",40,"Mujer",33,"CALI",2577,"2. Abierta","COL"
"41",41,"Hombre",50,"CALI",2577,"4. Veteranos B","COL"
"42",42,"Hombre",39,"CALI",2582,"2. Abierta","COL"
"43",43,"Hombre",23,"CALI",2583,"2. Abierta","COL"
"44",44,"Hombre",22,"CALI",2584,"2. Abierta","COL"
"45",45,"Hombre",33,"CALI",2589,"2. Abierta","COL"
"46",46,"Hombre",37,"CALI",2593,"2. Abierta","COL"
"47",47,"Hombre",40,"JAMUNDI",2612,"3. Veteranos A","COL"
"48",48,"Hombre",38,"CALI",2615,"2. Abierta","COL"
"49",49,"Hombre",27,"CALI",2629,"2. Abierta","COL"
"50",50,"Hombre",22,"CALI",2646,"2. Abierta","COL"
"51",51,"Hombre",21,"CALI",2648,"2. Abierta","COL"
"52",52,"Hombre",40,"CALI",2650,"3. Veteranos A","COL"
